Site_ID *,Site_Name,"""Other_Name""",Last_Updt,Commodity,MinReg_ID,Remarks,Approx_Lon,Approx_Lat,Loc_Pt,Loc_Poly,GeolMinOcc,Resources,Production,History,Dep_Model,Descr_Sum
ME00002,Union,"""Harriman; Crawford Pond""",2018-05-11, nickel,<Null>,<Null>,-69.241,44.199,Yes,No,Yes,Yes,No,Yes,Yes,Yes
ME00002,Union,"""Harriman; Crawford Pond""",2018-05-11, copper,<Null>,<Null>,-69.241,44.199,Yes,No,Yes,Yes,No,Yes,Yes,Yes
ME00003,Warren,"""Area 5""",2018-05-11,cobalt,<Null>,<Null>,-69.256,44.175,Yes,No,Yes,Yes,No,Yes,Yes,Yes
ME00003,Warren,"""Area 5""",2018-05-11, nickel,<Null>,<Null>,-69.256,44.175,Yes,No,Yes,Yes,No,Yes,Yes,Yes
MI00001,Eagle,"""<Null>""",2018-04-17,nickel,<Null>,<Null>,-87.889,46.747,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MI00001,Eagle,"""<Null>""",2018-04-17, copper,<Null>,<Null>,-87.889,46.747,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MI00001,Eagle,"""<Null>""",2018-04-17, cobalt,<Null>,<Null>,-87.889,46.747,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MI00001,Eagle,"""<Null>""",2018-04-17, gold,<Null>,<Null>,-87.889,46.747,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MI00001,Eagle,"""<Null>""",2018-04-17, silver,<Null>,<Null>,-87.889,46.747,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MI00001,Eagle,"""<Null>""",2018-04-17, platinum,<Null>,<Null>,-87.889,46.747,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MI00001,Eagle,"""<Null>""",2018-04-17, palladium,<Null>,<Null>,-87.889,46.747,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MN00002,NorthMet,"""<Null>""",2018-04-16,copper,<Null>,<Null>,-91.97,47.62,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MN00002,NorthMet,"""<Null>""",2018-04-16, nickel,<Null>,<Null>,-91.97,47.62,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MN00002,NorthMet,"""<Null>""",2018-04-16, platinum,<Null>,<Null>,-91.97,47.62,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MN00002,NorthMet,"""<Null>""",2018-04-16, palladium,<Null>,<Null>,-91.97,47.62,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MN00002,NorthMet,"""<Null>""",2018-04-16, gold,<Null>,<Null>,-91.97,47.62,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MN00002,NorthMet,"""<Null>""",2018-04-16, cobalt,<Null>,<Null>,-91.97,47.62,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
MN00002,NorthMet,"""<Null>""",2018-04-16, silver,<Null>,<Null>,-91.97,47.62,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
